   Ordinate	   Date / Time	SOIL MOISTURE FINAL SET MP 2-2 UNDER PANEL 100 MM	SOIL MOISTURE FINAL SET MP 6-3 REFERENCE 100 MM
----------------------------------------------------------------------------------------------------------------------------
Units	 	%	%
Type	 	INST-VAL	INST-VAL
1	09 Oct 18, 17:00	4,2000	10,000
2	09 Oct 18, 17:10	4,2000	10,000
3	09 Oct 18, 17:20	4,2000	10,000
4	09 Oct 18, 17:30	4,2000	10,100
5	09 Oct 18, 17:40	4,2000	10,100
6	09 Oct 18, 17:50	4,2000	10,100
7	09 Oct 18, 18:00	4,2000	10,000
8	09 Oct 18, 18:10	4,3000	10,100
9	09 Oct 18, 18:20	4,5000	10,100
10	09 Oct 18, 18:30	4,4000	10,100
11	09 Oct 18, 18:40	4,2000	10,100
12	09 Oct 18, 18:50	4,2000	10,100
13	09 Oct 18, 19:00	4,2000	10,100
14	09 Oct 18, 19:10	4,2000	10,100
15	09 Oct 18, 19:20	4,2000	10,100
16	09 Oct 18, 19:30	4,2000	10,100
17	09 Oct 18, 19:40	4,6000	10,100
18	09 Oct 18, 19:50	4,6000	10,000
19	09 Oct 18, 20:00	4,6000	10,100
20	09 Oct 18, 20:10	4,6000	10,100
21	09 Oct 18, 20:20	4,6000	10,100
22	09 Oct 18, 20:30	4,6000	10,000
23	09 Oct 18, 20:40	4,6000	10,000
24	09 Oct 18, 20:50	4,6000	10,000
25	09 Oct 18, 21:00	4,6000	10,000
26	09 Oct 18, 21:10	4,6000	10,000
27	09 Oct 18, 21:20	4,6000	10,000
28	09 Oct 18, 21:30	4,6000	10,000
29	09 Oct 18, 21:40	4,6000	10,100
30	09 Oct 18, 21:50	4,6000	10,000
31	09 Oct 18, 22:00	4,6000	10,000
32	09 Oct 18, 22:10	4,6000	10,000
33	09 Oct 18, 22:20	4,6000	10,000
34	09 Oct 18, 22:30	4,6000	10,000
35	09 Oct 18, 22:40	4,6000	10,000
36	09 Oct 18, 22:50	4,6000	10,000
37	09 Oct 18, 23:00	4,6000	10,000
38	09 Oct 18, 23:10	4,6000	10,000
39	09 Oct 18, 23:20	4,6000	10,000
40	09 Oct 18, 23:30	4,6000	10,000
41	09 Oct 18, 23:40	4,6000	10,000
42	09 Oct 18, 23:50	4,6000	10,000
43	09 Oct 18, 24:00	4,5000	10,000
44	10 Oct 18, 00:10	4,6000	10,000
45	10 Oct 18, 00:20	4,6000	10,000
46	10 Oct 18, 00:30	4,6000	10,000
47	10 Oct 18, 00:40	4,6000	10,000
48	10 Oct 18, 00:50	4,6000	10,000
49	10 Oct 18, 01:00	4,6000	10,000
50	10 Oct 18, 01:10	4,6000	10,000
51	10 Oct 18, 01:20	4,6000	10,000
52	10 Oct 18, 01:30	4,4000	10,000
53	10 Oct 18, 01:40	4,3000	10,000
54	10 Oct 18, 01:50	4,3000	10,000
55	10 Oct 18, 02:00	4,3000	10,000
56	10 Oct 18, 02:10	4,3000	10,000
57	10 Oct 18, 02:20	4,3000	10,000
58	10 Oct 18, 02:30	4,3000	10,000
